LOCALIDAD,TITULO,CLASIFICAC,DIRECCION,AUTOR,FECHA_ELAB,X,Y
Teusaquillo,Alegoria Colombia,Relieve,KR 30 48 51,"Sopo Duque, Miguel Alfonso",1960,"99747,44","104700,91"
Teusaquillo,Trujillo Gomez y Cardenas Martinez.,Placa,TV 17BIS 35 25,"Trujillo Gomez, Santiago",1935,"100597,8798","103138,7599"
Teusaquillo,Santa Teresita del Niño Jesus,E_Adosadas,KR 18A 43A 83,Anonimo,ca. 1943,"100667,8","104002,5"
Teusaquillo,Jose Maria Da Silva Paranhos Jr.,E_Antropomorfa,KR 17 - CL 38 Y CL 39,"Benitez Bolaños, Gerardo",1994,"100679,7936","103398,52"
Teusaquillo,Heriberto de la Calle,E_Antropomorfa,AC 26 51 53,"Hernandez, Alejandro",ca. 2000,"97925,32","104940,6"
Teusaquillo,Ilusion,E_Antropomorfa,AK 30 52 77,"Arango, Salvador",2011,"99770,61328","105062,7363"
Barrios Unidos,Niños de mi pais,Conjunto escultorico,CL 63 Y 53 - KR 60 Y 68,"Ruiz Quiroga, Hector. Esculturas: Hector, Armando, Karen Milena, Melisa, Jimena, Camilo, David, Laura Victoria, Daniela, Sarita, Sebastian, Daniel, Juan David, Laurita",1999,"98707,21175","107483,48"
Fontibon,Metamorfosis,E_Abstracta,KR 106 15D 25,"Negret, Edgar",ca. 1997,"91357,75604","108389,538"
Chapinero,Homenaje a Francisco de Paula Velez,Placa,KR 9A 62 22,Academia Colombiana de Historia,1948,"101736,5269","105786,638"
,,,,Junta de Festejos Patrios,,,
Chapinero,Jose Maria Carbonell,Conjunto escultorico,AC 63 Y DG 63 - KR 8 Y KR 7A,"Vieco Ortiz, Bernardo",ca. 1944,"101876,0878","105794,2967"
Chapinero,Jose Vicente Arbelaez Gomez,E_Antropomorfa,CL 63 Y CL 64 - KR 9A Y KR 10,"Guastalla, Gino",1924,"101756,9874","105880,9991"
Chapinero,Antonio Jose de Sucre,E_Antropomorfa,AK 11 - CL 63A y CL 64,"Verlet, Charles Raoul",ca. 1912,"101641,1","105944,17"
Chapinero,Madona con hijo,E_Antropomorfa,CL 67 10 67,"Arango Muñoz, Salvador",ca. 1984,"101865,7281","106188,9046"
Chapinero,Luis Eduardo Nieto Caballero,E_Antropomorfa,CL 67 Y CL 68 - KR 13 Y AK 14,"Montañes y Montañes, Fernando",ca.1959,"101608,5803","106414,3766"
Chapinero,Triada,E_Abstracta,CL 70A 13 83,"Beltran Castiblanco, Gabriel",2005,"101720,6611","106732,2498"
Chapinero,Giordano Bruno,E_Antropomorfa,CL 69A - KR 9,"Urrutia Mora, Miguel",ca. 1990,"102045,3487","106332,597"
Chapinero,Mujer con rueda y alas,Conjunto escultorico,KR 7 71 21,"Amaral, Jim",ca. 1996,"102403,63","106446,74"
Chapinero,Bernardo O'Higgins,E_Antropomorfa,AC 72 - KR 9,Anonimo,Sin fecha,"102296,01","106598,89"
Santa Fe,Antonio Baraya,E_Antropomorfa,KR 13 - DG 40A,"Vieco Ortiz, Bernardo",1942,"101128,5848","103431,5881"
Chapinero,San Francisco de Asis,Conjunto escultorico,KR 11 - AC 72,"Montañes y Montañes, Fernando",1983,"102126,1156","106753,012"
Chapinero,Primera piedra iglesia y colegio San Buenaventura,Placa,KR 11 - AC 72,Orden franciscana,1919,"102122,824","106748,2443"
Chapinero,Jose Enrique Roda,E_Antropomorfa,AC 72 - KR 11 Y KR 12,"Prati, Edmundo",ca. 1942,"101942,25","106842,05"
Chapinero,Dinamismo 1 y 2,E_Antropomorfa,KR 9 74 08,"Arango Muñoz, Salvador",ca. 1983,"102432,375","106801,3961"
Chapinero,Homenaje a Bernardo O'Higgins,Placa,KR 6 - CL 77,Colonia chilena en Bogota,1984,"102863,29","106929,54"
Chapinero,Benito Juarez,E_Antropomorfa,CL 77 Y CL 77A - KR 11 Y KR 12,"Cruz Reyes, Juan",ca. 1938,"102367,21","107303,02"
Chapinero,Juan Montalvo,E_Antropomorfa,CL 80 Y CL 81 - KR 10 Y KR 11,"Mideros Almeida, Luis",ca.1938,"102719,6929","107526,7375"
Chapinero,Monumento a los heroes,Conjunto escultorico,AK 13 - AC 80,"Fremiet, Emmanuel (escultura)",ca. 1910 (escultura),"101869,36","107745,73"
Chapinero,Sin titulo,E_Abstracta,KR 7 - AC 82,"Alvarez, Raul",1997,"103189,8438","107410,464"
Chapinero,Antonio Ricaurte,E_Antropomorfa,AC 82 - KR 8,"Greber, Henri Leon (escultura)",ca. 1910,"103096,32","107509,16"
Chapinero,Carlos E. Restrepo,E_Antropomorfa,KR 13 42A 25,"Cano Cardona, Francisco Antonio",1925,"101177,57","103808,81"
Chapinero,Cuarto centenario del nacimiento de Miguel de Cervantes Saavedra,Placa,AC 82 - KR 8,Anonimo,1947,"103078,78","107527,71"
Chapinero,Miguel de Cervantes Saavedra,E_Antropomorfa,CL 82 Y CL 83 - KR 9 Y KR 10,"Acevedo Bernal, Ricardo (modelado)",ca. 1916,"102967,5145","107677,1043"
Chapinero,Miguel Grau Seminario,E_Antropomorfa,KR 10 - CL 82 Y CL 83,Anonimo,ca. 2002,"102904,2195","107715,717"
Chapinero,San Josemaria Escrivi de Balaguer,E_Geometrica,CL 85 - KR 7A Y KR 8,"Montañes y Montañes, Fernando",ca. 2003,"103294,9302","107678,2217"
Chapinero,Louis Pasteur,E_Antropomorfa,CL 87 - KR 8,Anonimo,ca. 1996,"103401,331","107970,881"
Chapinero,Alvaro Gomez,E_Zoomorfa,AK 11 - CL 87,Anonimo,Sin fecha,"103020,776","108148,7712"
Chapinero,Movimiento en tres tiempos,E_Abstracta,KR 15 88 64,"Hakim, Claudia",2012,"102715,8525","108634,8934"
Chapinero,"El sacrificio, homenaje a Luis Carlos Galan Sarmiento",E_Antropomorfa,AK 7 - CL 92A,"Laserna, Liliana",1992,"103767,8173","108317,0445"
Chapinero,Diana Turbay Quintero,E_Antropomorfa,CL 93 - KR 7,"Hernandez Pinto, Alejandro",ca. 1993,"103824,04","108442,07"
Chapinero,Alejandro Osorio Uribe,E_Antropomorfa,CL 54 Y CL 54A - KR 6 Y KR 7,"Llamosa Malagon, Ernesto",1970,"101691,838","104888,0392"
Chapinero,Julio Cesar Turbay Ayala,E_Antropomorfa,KR 7- CL 94,"Hernandez Pinto, Alejandro",ca. 2010,"103965,8137","108659,5325"
Chapinero,Laureano Gomez,E_Antropomorfa,TV 19A - DG 92,"Montañes y Montañes, Fernando",ca.1994,"102678,3733","109535,5115"
Chapinero,Americo Vespucio,Conjunto escultorico,AK 7 - CL 96,"MartAnez Charry, Octavio",1987,"104117,4","108933,51"
Chapinero,Carlos Gardel,E_Antropomorfa,KR 10 - CL 97,"Ferraro, Juan Carlos",1986,"103765,5386","109215,557"
Chapinero,Homenaje a Gandhi,E_Abstracta,AK 7 - CL 100,"Bursztyn, Feliza",1971,"104372,99","109215,22"
Chapinero,Espejo de la luna,E_Abstracta,CL 100 8A 59,"RamArez Villamizar, Eduardo",1981,"104070,77","109363,22"
Chapinero,Jose Antonio Anzoategui,E_Antropomorfa,CL 100 - TV 23,"Poletto, Santiago",Sin fecha,"102379,41","109977,19"
Chapinero,Traje ceremonial inca,E_Abstracta,CL 70A 7 41,"RamArez Villamizar, Eduardo",ca.1986,"102311,9675","106373,9494"
Chapinero,Buzon de correo del Bosque Calderon,Buzón exento,KR 4A Y LA TV 4BIS - CL 57 Y CL 58,No aplica,ca. 1965,"101889,14","105127,13"
Chapinero,Reloj de la Capilla de Cristo Rey,Reloj,CL 74 11 56,No aplica,ca.1927,"102225,38","106972,3"
